admin1_pc,admin2,admin2_pc,population,data_quality,n_sectors_available,n_dims_available,Food.Security_rate,Health_rate,Nutrition_rate,WASH_rate,Shelter_rate,Education_rate,Overarching.Protection_rate,CP_rate,GBV_rate,Migrants_rate,dim_basic_z,dim_living_z,dim_protection_z,dim_basic_wt,dim_living_wt,dim_protection_wt,index_comp_z_norm,index_comp_wt_norm,index_max_z_norm,index_max_wt_norm,index_geom_z_norm,index_geom_wt_norm,n_deprived_z,is_multidim_deprived_k2,af_score_k2_norm
HT06,Savanette,HT0633,46902,High,10,3,0.420408511,0.312417381,0.081339815,0.127691783,0.496588632,0.115943883,0.080572257,0.076478615,0.080572257,0.077224852,-0.567347855,0.433257079,-0.490850997,-0.54933173,0.433257079,-0.598679973,0.170164407,0.131207998,0.192162015,0.12914252,0.253619286,0.198162348,1,FALSE,0
HT06,Cerca La Source,HT0641,73041,High,10,3,0.421585137,0.246902425,0.077832998,0.075012664,0.342273518,0.137703482,0.133555127,0.133555127,0.080530113,0.017661314,-0.737463363,0.33110643,-0.295889303,-0.714024649,0.33110643,-0.321561789,0.161367416,0.132099463,0.169937239,0.114803333,0.217836173,0.18699308,1,FALSE,0
HT06,Thomassique,HT0642,85148,High,10,3,0.404448725,0.359127637,0.07840466,0.195365716,0.478273124,0.14685019,0.135516982,0.135516982,0.081446423,0.042666886,-0.470173904,0.849680714,-0.222429044,-0.45232485,0.849680714,-0.263125211,0.259155629,0.204869197,0.282762729,0.187597126,0.310269572,0.255711361,1,FALSE,0
HT07,Les Cayes,HT0711,207439,High,10,3,0.661384793,0.62671918,0.091665502,0.601598542,0.398546079,0.022334277,0.19372442,0.19372442,0.083499246,0.012745916,1.017257619,-1.257164755,0.066568647,1.183548245,-0.898606886,0.095727285,0.221555358,0.226251097,0.319222205,0.234463091,0.077681908,0.166574322,2,TRUE,0.666666667
HT07,Torbeck,HT0712,93827,High,10,3,0.485862278,0.422159933,0.089057521,0.340189924,0.360173511,0.047267844,0.197054153,0.197054153,0.080083558,0.003293295,0.017294929,-0.987179556,0.049417841,0.071796738,-0.501166939,0.091758714,0.136534643,0.163930374,0.108650642,0.081205392,0.143669853,0.245717017,2,TRUE,0.666666667
HT07,Chantal,HT0713,41237,High,10,3,0.453088246,0.385673061,0.085166234,0.284671533,0.445788976,0.091665252,0.249387686,0.249387686,0.08004947,0.00739627,-0.190272852,-0.076095899,0.372231006,-0.14631665,0.083107347,0.460201263,0.253327475,0.22766737,0.178884656,0.132924754,0.391479103,0.337338202,1,FALSE,0
HT07,Camp-Perrin,HT0714,51550,High,10,3,0.523549952,0.269175558,0.08913676,0.217555771,0.384966052,0.097342386,0.207837051,0.17871969,0.207837051,0.004597478,-0.264066219,-0.160226693,0.583976133,-0.307617079,-0.160226693,0.464694846,0.259452122,0.192949621,0.224953751,0.133555531,0.367744648,0.288736807,1,FALSE,0
HT07,Maniche,HT0715,27507,High,10,3,0.5213582,0.379212564,0.089104592,0.34209474,0.464790781,0.102155815,0.164467227,0.164467227,0.079179845,0.002871996,0.035072438,0.135748947,-0.150826627,0.049611615,0.135748947,-0.137106549,0.243556039,0.197409536,0.127433582,0.08738043,0.403988982,0.330857265,2,TRUE,0.666666667
HT07,Ile a Vache,HT0716,17491,High,10,3,0.431593391,0.257389515,0.084329084,0.509290492,0.2858613,0.110113773,0.105196958,0.105196958,0.077697101,0.008804528,-0.173678441,-0.244034063,-0.498886694,-0.354449672,-0.244034063,-0.541628161,0.136974762,0.09430238,0.060111893,0.034069176,0.279263044,0.214510524,0,FALSE,0
HT07,Port-Salut,HT0721,25431,High,10,3,0.368172703,0.578309937,0.095985215,0.580747906,0.211041642,0.103181157,0.236365066,0.236365066,0.079823837,0.01242578,0.293356825,-0.558082324,0.304788312,0.442130478,-0.602771534,0.377889897,0.245839717,0.212072172,0.164211243,0.130388105,0.29436294,0.235585564,2,TRUE,0.666666667
HT07,Saint Jean du Sud,HT0722,35362,High,10,3,0.354448278,0.636672134,0.086618404,0.624710141,0.461625474,0.101606244,0.20448504,0.20448504,0.079067926,0.002347152,0.355854428,0.118585253,0.087197905,0.495259724,0.241048106,0.138214959,0.305193191,0.269099765,0.175321627,0.137846013,0.490179132,0.423280931,3,TRUE,1
HT07,Arniquet,HT0723,35838,High,10,3,0.399157319,0.4106814,0.083068252,0.32487862,0.573971762,0.105921089,0.125844076,0.125844076,0.078492103,0,-0.23656085,0.497929797,-0.391908142,-0.187083972,0.677802064,-0.411089093,0.226425776,0.20013175,0.206232769,0.163470016,0.325759074,0.267427216,1,FALSE,0
HT07,Aquin,HT0731,123719,High,10,3,0.520768839,0.370953532,0.09578157,0.384799425,0.406825144,0.14229019,0.218066748,0.218066748,0.081483038,0.002085371,0.101215725,0.580956388,0.178795542,0.105788545,0.580956388,0.274222154,0.339255958,0.276600002,0.224296749,0.149875505,0.514234503,0.423802493,3,TRUE,1
HT07,Saint Louis du Sud,HT0732,80295,High,10,3,0.484475995,0.425916931,0.081823277,0.395379538,0.435892646,0.151304564,0.13271063,0.13271063,0.081736098,0.001295224,0.049454614,0.798604193,-0.33323372,0.106659148,0.73093881,-0.350878363,0.299866085,0.235452482,0.271650081,0.170928977,0.366447148,0.29502677,2,TRUE,0.666666667
HT07,Cavaillon,HT0733,63397,High,10,3,0.460147957,0.528037604,0.088426897,0.505702163,0.647254602,0.103191003,0.186759626,0.186759626,0.0804139,0.003911857,0.302328012,0.661481682,-0.009346846,0.421707055,0.898161563,0.02272667,0.3498954,0.309711519,0.241816526,0.194402525,0.473865357,0.408918466,2,TRUE,0.666666667
HT07,Coteaux,HT0741,25395,High,10,3,0.411222682,0.350305178,0.083323489,0.278322504,0.470683205,0.111990549,0.109588502,0.109588502,0.080291396,0.000157511,-0.350677794,0.301024145,-0.480854713,-0.341839018,0.301024145,-0.517297195,0.180910615,0.144798903,0.163392278,0.110580595,0.288731829,0.2304435,1,FALSE,0
HT07,Port-a-Piment,HT0742,26647,High,10,3,0.282846099,0.700679251,0.080084062,0.645513566,0.515968026,0.036852178,0.171088678,0.171088678,0.082560889,0.002964686,0.28518401,-0.709255396,-0.095775443,0.410301575,0.046352633,-0.080156936,0.182123862,0.225889173,0.159945962,0.125920188,0.233835683,0.349019304,1,FALSE,0
HT07,Roche a Bateau,HT0743,28335,High,10,3,0.31822834,0.815352038,0.084171519,0.864584436,0.365978472,0.116993118,0.150344097,0.150344097,0.082053997,0,0.801304813,0.08401717,-0.22915346,0.902845654,0.091052419,-0.230144553,0.315950498,0.259489001,0.272237651,0.195060045,0.399542853,0.325233532,2,TRUE,0.666666667
HT07,Chardonnieres,HT0751,32835,High,10,3,0.40895386,0.53147556,0.081833409,0.469011725,0.431947617,0.112745546,0.150631948,0.150631948,0.079183798,0.000121821,0.121768569,0.20416381,-0.240026742,0.235350097,0.268587055,-0.237317172,0.251056478,0.2163558,0.142318509,0.106027305,0.384070786,0.317282126,2,TRUE,0.666666667
HT07,Les Anglais,HT0752,39577,High,10,3,0.370265558,0.555549941,0.08232054,0.516234176,0.151022058,0.111074614,0.125072643,0.125072643,0.080273896,0.000277939,0.127774193,-0.606433625,-0.387894664,0.24036583,-0.717402794,-0.41014058,0.142669728,0.116247928,0.125698526,0.102065809,0.247916902,0.181214997,1,FALSE,0
HT07,Tiburon,HT0753,28474,High,10,3,0.400786683,0.753178338,0.080880804,0.309299712,0.526796376,0.108590293,0.081056402,0.081056402,0.079827211,0,0.242840876,0.406439021,-0.654228134,0.647411046,0.546558322,-0.685107044,0.240717609,0.237373669,0.186327247,0.15920394,0.265094501,0.222416558,2,TRUE,0.666666667
HT08,Jeremie,HT0811,155299,High,10,3,0.641311277,0.504987154,0.083561388,0.504343235,0.452958487,0.113786953,0.185686965,0.185686965,0.081912955,0.010450808,0.645305682,0.278655688,0.006014581,0.817950358,0.352996964,0.031158846,0.347108872,0.297522148,0.238297136,0.183143043,0.47093902,0.409797749,3,TRUE,1
HT08,Abricots,HT0812,47470,High,10,3,0.475542448,0.654244786,0.082346745,0.901179692,0.376553613,0.127280388,0.113966716,0.113966716,0.08087213,0.001664209,0.945874052,0.269229729,-0.448549941,1.050346408,0.247167786,-0.482620062,0.32851198,0.263926155,0.303691381,0.215765158,0.342946045,0.272237436,2,TRUE,0.666666667
HT08,Bonbon,HT0813,10653,High,10,3,0.48427673,0.641697175,0.082793579,0.643105229,0.180230921,0.115366563,0.133952877,0.133952877,0,0.021590162,0.653902532,-0.459842692,-0.645787904,0.572902701,-0.566954931,-0.575017572,0.189875551,0.143848169,0.240167541,0.148744985,0.239805558,0.19753333,1,FALSE,0
